district,climate_zone,experience_level,budget_level,farming_setup,soil_type,season,crop_type_preference,water_access,recommendation_1,recommendation_1_score,recommendation_2,recommendation_2_score,recommendation_3,recommendation_3_score,success_probability,estimated_roi,profitability_score,space_required_sqm,growth_duration_days,difficulty_level,market_demand,market_price_per_kg,water_requirement,market_conditions,alternative_crops
Trincomalee,coastal,Intermediate,Medium,Container,Alluvial,Maha,Herbs,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.668,91.1,72,1.5,90,2,8,379,Medium,1.09,"Cherry Tomato, Eggplant, Bell Pepper"
Horana,wet_zone,Intermediate,Medium,Container,Clay,Maha,Cash_Crops,No,Aloe Vera,72.8,Green Beans,69.9,Ginger,65.3,0.551,148.5,70,1.3,109,1,8,454,Low,1.09,"Curry Leaves, Tomato, Chili"
Hambantota,dry_zone,Beginner,Medium,Container,Alluvial,Maha,Cash_Crops,Yes,Chili,90.7,Aloe Vera,88.2,Eggplant,83.2,0.842,84.2,72,2.8,71,2,10,264,Medium,1.05,"Curry Leaves, Ginger, Okra"
Galle,coastal,Beginner,Low,Rooftop,Alluvial,Maha,Leafy_Greens,Yes,Chili,90.7,Aloe Vera,88.2,Capsicum,78.1,0.876,130.2,72,2.3,74,2,10,282,Medium,0.85,"Curry Leaves, Basil, Mint"
Mannar,northern,Intermediate,Low,Rooftop,Red_Earth,Maha,Fruits,Yes,Chili,90.7,Aloe Vera,66.2,Capsicum,58.6,0.95,64.6,72,2.5,64,2,10,408,Medium,1,"Curry Leaves, Basil, Mint"
Hambantota,dry_zone,Beginner,Medium,Container,Alluvial,Maha,Vegetables,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.8,195.3,70,1.5,79,1,10,692,Low,1.13,"Eggplant, Okra, Lemongrass"
Vavuniya,northern,Intermediate,High,Small_Plot,Alluvial,Maha,Leafy_Greens,Yes,Pomegranate,85.7,Avocado,85.2,Passion Fruit,81.1,0.69,105.6,68,6.8,129,3,8,671,Medium,0.87,"Turmeric, Ashwagandha, Broccoli"
Nuwara Eliya,hill_country,Beginner,Medium,Backyard,Loamy,Yala,Ayurvedic_Plants,Yes,Turmeric,100,Ginger,93.2,Lemon,81.9,0.95,50.8,76,3.4,194,2,9,332,Medium,1.05,"Tomato, Baby Corn, Curry Leaves"
Kalmunai,wet_zone,Intermediate,Low,Container,Clay,Yala,Herbs,Yes,Ginger,93.2,Brahmi,81.9,Tomato,80.6,0.719,72.7,74,2.2,209,2,8,328,High,0.93,"Chili, Cucumber, Aloe Vera"
Kurunegala,dry_zone,Beginner,Medium,Rooftop,Red_Earth,Maha,Ayurvedic_Plants,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.898,86,70,2.2,81,1,10,470,Low,1.03,"Capsicum, Basil, Coriander"
Matale,hill_country,Beginner,Medium,Rooftop,Red_Earth,Maha,Ayurvedic_Plants,No,Curry Leaves,83.2,Aloe Vera,72.8,Capsicum,70.3,0.865,93.5,60,1.9,30,1,10,155,Low,0.87,"Basil, Chili, Coriander"
Polonnaruwa,dry_zone,Beginner,Medium,Rooftop,Clay,Maha,Vegetables,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.849,43,70,1.7,104,1,10,356,Low,0.9,"Capsicum, Basil, Coriander"
Hatton,hill_country,Intermediate,High,Small_Plot,Loamy,Yala,Ayurvedic_Plants,Yes,Turmeric,100,Avocado,100,Lemon,81.9,0.855,102.1,76,4.1,276,2,9,272,Medium,1.09,"Passion Fruit, Baby Corn, Broccoli"
Kandy,hill_country,Beginner,Low,Backyard,Loamy,Yala,Ayurvedic_Plants,No,Turmeric,94.8,Curry Leaves,83.2,Aloe Vera,80,0.809,49.7,76,4.9,293,2,10,367,Medium,0.9,"Lemon, Baby Corn, Moringa"
Horana,wet_zone,Advanced,Low,Container,Clay,Yala,Fruits,Yes,Ginger,93.2,Brahmi,81.9,Tomato,80.6,0.88,100.8,74,3,223,2,10,341,High,1.02,"Chili, Cucumber, Aloe Vera"
Kalutara,coastal,Beginner,Low,Container,Sandy,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.902,49.7,72,2.5,88,2,10,567,Medium,1.17,"Cherry Tomato, Tomato, Capsicum"
Puttalam,dry_zone,Beginner,High,Small_Plot,Red_Earth,Maha,Cash_Crops,Yes,Moringa,85.7,Turmeric,79,Lime,62.4,0.759,56.3,68,3.2,79,2,8,489,Low,1.03,"Lemon, Wood Apple, Baby Corn"
Ratnapura,wet_zone,Beginner,Medium,Small_Plot,Clay,Maha,Leafy_Greens,Yes,Turmeric,95.8,Lime,83.2,Baby Corn,73.1,0.779,116.9,76,3.6,243,2,9,409,Medium,1.1,"Papaya, Moringa, Cabbage"
Anuradhapura,dry_zone,Beginner,Low,Container,Alluvial,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.728,106.1,72,1.2,89,2,10,543,Medium,0.87,"Curry Leaves, Okra, Bell Pepper"
Hambantota,dry_zone,Beginner,Medium,Backyard,Clay,Yala,Ayurvedic_Plants,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.881,70.1,70,2.8,89,1,10,363,Low,0.9,"Curry Leaves, Okra, Turmeric"
Anuradhapura,dry_zone,Beginner,Low,Rooftop,Clay,Maha,Cash_Crops,Yes,Chili,90.7,Aloe Vera,88.2,Curry Leaves,75.6,0.743,165.2,72,3,90,2,10,618,Medium,1.15,"Capsicum, Basil, Mint"
Hambantota,dry_zone,Intermediate,Low,Rooftop,Alluvial,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,97,Curry Leaves,75.6,0.786,233.3,72,2.4,63,2,10,415,Medium,1.11,"Capsicum, Basil, Mint"
Badulla,hill_country,Intermediate,Low,Rooftop,Red_Earth,Maha,Cash_Crops,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.674,59.7,62,2.7,75,2,6,191,Medium,1.12,"Mint, Chili, Aloe Vera"
Mullaitivu,northern,Beginner,Medium,Backyard,Alluvial,Yala,Leafy_Greens,Yes,Chili,99.8,Turmeric,79,Eggplant,75.6,0.717,196.8,72,2.4,69,2,10,411,Medium,0.86,"Okra, Aloe Vera, Ginger"
Horana,wet_zone,Intermediate,Medium,Container,Red_Earth,Yala,Leafy_Greens,No,Aloe Vera,80,Chili,67.4,Ginger,65.3,0.677,66.2,70,1.7,80,1,8,290,Low,0.81,"Green Beans, Curry Leaves, Okra"
Trincomalee,coastal,Beginner,Medium,Rooftop,Laterite,Maha,Herbs,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.715,50.7,70,2.1,114,1,9,527,Low,1.09,"Capsicum, Basil, Coriander"
Badulla,hill_country,Beginner,Low,Rooftop,Loamy,Maha,Leafy_Greens,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.835,81.5,62,2.3,71,2,6,351,Medium,1.1,"Mint, Chili, Aloe Vera"
Horana,wet_zone,Intermediate,Medium,Small_Plot,Red_Earth,Yala,Vegetables,Yes,Turmeric,100,Avocado,100,Passion Fruit,98.3,0.95,45.9,76,4.7,223,2,10,312,Medium,1.03,"Lime, Baby Corn, Jackfruit"
Ella,hill_country,Beginner,Low,Backyard,Red_Earth,Maha,Vegetables,Yes,Turmeric,95.8,Ginger,93.2,Tomato,88.7,0.95,58.2,76,2.8,225,2,10,507,Medium,1.13,"Lemon, Green Beans, Curry Leaves"
Gampaha,coastal,Advanced,Low,Rooftop,Alluvial,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.95,212.5,72,2.4,88,2,10,559,Medium,1.04,"Curry Leaves, Basil, Mint"
Mannar,northern,Intermediate,Low,Rooftop,Clay,Maha,Fruits,No,Chili,81.6,Aloe Vera,72.8,Curry Leaves,62.4,0.711,83.1,72,2.9,75,2,7,235,Medium,1.05,"Capsicum, Basil, Coriander"
Galle,coastal,Beginner,Medium,Backyard,Sandy,Maha,Leafy_Greens,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.922,73.8,72,1.5,74,2,10,364,Medium,0.88,"Moringa, Eggplant, Lime"
Kandy,hill_country,Beginner,High,Greenhouse,Loamy,Yala,Fruits,No,Bell Pepper,79.8,Cherry Tomato,76,Capsicum,70.3,0.788,200.5,64,1.2,91,2,10,355,Medium,1.15,"Basil, Tomato, Cucumber"
Badulla,hill_country,Intermediate,Low,Container,Loamy,Maha,Leafy_Greens,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.95,184.1,74,2.2,223,2,10,283,High,1.16,"Brahmi, Bell Pepper, Capsicum"
Kandy,hill_country,Beginner,Medium,Rooftop,Loamy,Maha,Fruits,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.729,134.6,62,1.5,79,2,10,250,Medium,1.12,"Chili, Aloe Vera, Mint"
Kalutara,coastal,Intermediate,Low,Container,Laterite,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.95,51.4,72,1.9,70,2,8,545,Medium,1.05,"Cherry Tomato, Tomato, Capsicum"
Bandarawela,hill_country,Beginner,Low,Backyard,Loamy,Yala,Vegetables,Yes,Turmeric,100,Ginger,93.2,Lemon,81.9,0.856,124.3,76,2.6,255,2,9,319,Medium,1.02,"Tomato, Baby Corn, Curry Leaves"
Galle,coastal,Intermediate,Low,Rooftop,Sandy,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.926,173.7,72,1.5,68,2,10,486,Medium,1.14,"Curry Leaves, Basil, Mint"
Mannar,northern,Beginner,High,Greenhouse,Clay,Maha,Vegetables,Yes,Tomato,66.5,Cherry Tomato,63.3,Bell Pepper,60.5,0.729,192.4,64,1.7,61,2,9,125,High,0.81,"Cucumber, Capsicum, Basil"
Ratnapura,wet_zone,Beginner,High,Small_Plot,Alluvial,Maha,Ayurvedic_Plants,No,Turmeric,94.8,Lime,74.8,Moringa,70.7,0.699,194,76,3.2,263,2,9,257,Medium,1.13,"Baby Corn, Papaya, Cabbage"
Hatton,hill_country,Beginner,Low,Rooftop,Laterite,Maha,Herbs,No,Curry Leaves,83.2,Aloe Vera,72.8,Capsicum,70.3,0.602,144.4,60,1.9,33,1,8,247,Low,1.18,"Basil, Chili, Coriander"
Ella,hill_country,Intermediate,Low,Backyard,Red_Earth,Yala,Leafy_Greens,Yes,Turmeric,100,Avocado,100,Ginger,93.2,0.705,56.2,76,2.9,223,2,10,389,Medium,1.06,"Lemon, Tomato, Baby Corn"
Anuradhapura,dry_zone,Beginner,Low,Rooftop,Alluvial,Yala,Leafy_Greens,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.793,83.1,70,2.1,119,1,10,370,Low,1.13,"Capsicum, Basil, Coriander"
Jaffna,northern,Beginner,Medium,Backyard,Clay,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Turmeric,79,Eggplant,75.6,0.896,100.3,72,2.6,63,2,10,661,Medium,1.19,"Okra, Aloe Vera, Ginger"
Kalutara,coastal,Intermediate,Medium,Backyard,Sandy,Yala,Vegetables,Yes,Chili,99.8,Passion Fruit,98.3,Aloe Vera,97,0.921,201.8,72,2.8,80,2,9,316,Medium,0.8,"Moringa, Lime, Lemon"
Puttalam,dry_zone,Beginner,Low,Backyard,Clay,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,97,Moringa,85.7,0.748,93.1,72,1.4,89,2,9,526,Medium,0.9,"Turmeric, Eggplant, Curry Leaves"
Matale,hill_country,Beginner,Low,Container,Loamy,Yala,Fruits,Yes,Ginger,93.2,Bell Pepper,88.7,Cherry Tomato,84.4,0.871,133.2,74,2,201,2,10,411,High,1.18,"Tomato, Capsicum, Curry Leaves"
Matara,coastal,Intermediate,Low,Backyard,Sandy,Yala,Herbs,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.934,98,70,1.6,67,1,10,546,Low,1,"Passion Fruit, Curry Leaves, Okra"
Horana,wet_zone,Intermediate,High,Greenhouse,Clay,Yala,Vegetables,Yes,Brahmi,81.9,Tomato,80.6,Cucumber,73.1,0.62,81.1,65,1.5,84,3,8,589,High,1.11,"Bell Pepper, Cherry Tomato, Capsicum"
Ella,hill_country,Advanced,Medium,Container,Red_Earth,Maha,Cash_Crops,Yes,Strawberry,100,Ginger,93.2,Tomato,88.7,0.95,82.5,80,1.3,76,4,10,1366,High,1,"Cherry Tomato, Brahmi, Bell Pepper"
Ella,hill_country,Beginner,High,Small_Plot,Loamy,Maha,Vegetables,Yes,Turmeric,100,Lemon,81.9,Baby Corn,73.1,0.95,80.5,76,2.7,204,2,10,213,Medium,0.83,"Moringa, Cabbage, Lime"
Mannar,northern,Intermediate,Medium,Small_Plot,Red_Earth,Yala,Vegetables,No,Pomegranate,77.1,Ashwagandha,72.8,Turmeric,71.1,0.63,149.5,68,12,144,3,9,544,Medium,0.94,"Moringa, Avocado, Passion Fruit"
Gampaha,coastal,Advanced,Medium,Backyard,Sandy,Maha,Leafy_Greens,No,Aloe Vera,97,Moringa,94.2,Passion Fruit,88.5,0.699,202.4,70,1.2,62,1,10,388,Low,1.13,"Curry Leaves, Chili, Eggplant"
Galle,coastal,Beginner,High,Small_Plot,Alluvial,Yala,Fruits,No,Moringa,94.2,Turmeric,78.2,Lime,74.8,0.757,165.3,68,3.4,67,2,10,457,Low,0.97,"Lemon, Papaya, Neem"
Kilinochchi,northern,Beginner,Low,Container,Alluvial,Yala,Leafy_Greens,Yes,Chili,99.8,Eggplant,75.6,Okra,74.8,0.892,66.3,72,2,67,2,10,476,Medium,1.1,"Aloe Vera, Ginger, Bell Pepper"
Kalmunai,wet_zone,Beginner,Medium,Rooftop,Clay,Maha,Vegetables,Yes,Chili,68,Aloe Vera,66.2,Mint,63,0.569,80.2,72,1,76,2,6,424,Medium,1.11,"Capsicum, Spinach, Curry Leaves"
Puttalam,dry_zone,Advanced,Low,Container,Clay,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Strawberry,90.7,0.95,157.8,72,1.6,85,2,9,671,Medium,1.1,"Eggplant, Curry Leaves, Okra"
Ratnapura,wet_zone,Beginner,High,Small_Plot,Alluvial,Maha,Leafy_Greens,Yes,Turmeric,100,Lime,83.2,Baby Corn,73.1,0.728,131,76,3.2,230,2,10,250,Medium,0.81,"Papaya, Moringa, Cabbage"
Mullaitivu,northern,Beginner,Medium,Container,Red_Earth,Maha,Fruits,Yes,Chili,90.7,Eggplant,83.2,Ginger,69.9,0.679,56.4,72,2.8,66,2,8,199,Medium,0.85,"Okra, Tomato, Aloe Vera"
Kilinochchi,northern,Advanced,Medium,Container,Clay,Yala,Cash_Crops,Yes,Chili,99.8,Strawberry,90.7,Eggplant,75.6,0.95,203.3,72,1.7,80,2,10,559,Medium,0.99,"Okra, Aloe Vera, Ginger"
Matara,coastal,Beginner,Medium,Small_Plot,Alluvial,Maha,Fruits,No,Moringa,94.2,Lime,74.8,Lemon,73.7,0.906,204.2,68,4,64,2,10,623,Low,1.03,"Turmeric, Papaya, Neem"
Matara,coastal,Advanced,High,Greenhouse,Alluvial,Yala,Leafy_Greens,Yes,Dragon Fruit,100,Saffron,100,Vanilla,100,0.95,53.8,84,9.9,91,4,10,876,Medium,1.02,"Cardamom, Strawberry, Bell Pepper"
Monaragala,dry_zone,Beginner,Low,Container,Alluvial,Yala,Leafy_Greens,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.927,102.8,70,1.1,116,1,10,380,Low,1.08,"Okra, Lemongrass, Eggplant"
Polonnaruwa,dry_zone,Beginner,Medium,Small_Plot,Clay,Yala,Leafy_Greens,Yes,Moringa,85.7,Turmeric,79,Lime,62.4,0.744,44.7,68,4.9,72,2,8,313,Low,0.95,"Lemon, Baby Corn, Wood Apple"
Kegalle,hill_country,Beginner,Medium,Small_Plot,Red_Earth,Maha,Leafy_Greens,Yes,Turmeric,95.8,Lemon,81.9,Baby Corn,73.1,0.691,44,76,3.7,185,2,8,303,Medium,1.08,"Moringa, Cabbage, Lime"
Ratnapura,wet_zone,Intermediate,High,Greenhouse,Red_Earth,Yala,Ayurvedic_Plants,No,Bell Pepper,59.9,Brahmi,57.3,Cherry Tomato,57,0.503,72.1,64,1.8,99,2,7,299,Medium,0.99,"Tomato, Capsicum, Cucumber"
Hambantota,dry_zone,Advanced,Medium,Small_Plot,Alluvial,Maha,Leafy_Greens,No,Dragon Fruit,100,Ashwagandha,97,Saffron,97,0.818,113.8,84,6,170,4,10,885,Medium,0.8,"Moringa, Pomegranate, Avocado"
Kegalle,hill_country,Beginner,Low,Container,Loamy,Yala,Fruits,No,Curry Leaves,83.2,Aloe Vera,80,Bell Pepper,79.8,0.827,119.4,60,1.3,51,1,10,114,Low,0.97,"Cherry Tomato, Capsicum, Green Beans"
Batticaloa,coastal,Beginner,Medium,Small_Plot,Sandy,Maha,Ayurvedic_Plants,No,Moringa,94.2,Lime,74.8,Lemon,73.7,0.82,63.2,68,7.8,62,2,8,338,Low,1.08,"Turmeric, Papaya, Neem"
Anuradhapura,dry_zone,Beginner,Low,Rooftop,Red_Earth,Maha,Herbs,Yes,Chili,90.7,Aloe Vera,88.2,Curry Leaves,75.6,0.866,132.7,72,2.6,83,2,8,252,Medium,1.14,"Capsicum, Basil, Mint"
Kandy,hill_country,Intermediate,Medium,Backyard,Red_Earth,Yala,Herbs,Yes,Turmeric,100,Avocado,100,Ginger,93.2,0.95,91.6,76,4.8,233,2,10,379,Medium,0.96,"Lemon, Tomato, Baby Corn"
Gampaha,coastal,Beginner,High,Backyard,Laterite,Maha,Herbs,Yes,Chili,99.8,Aloe Vera,97,Tomato,88.7,0.95,143.1,72,1.1,78,2,8,205,Medium,0.84,"Moringa, Eggplant, Lime"
Colombo,coastal,Advanced,Medium,Small_Plot,Sandy,Yala,Herbs,Yes,Dragon Fruit,100,Saffron,100,Black Pepper,99.8,0.846,100.1,84,5.5,109,4,10,546,Medium,0.9,"Passion Fruit, Cardamom, Moringa"
Trincomalee,coastal,Intermediate,Low,Container,Alluvial,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.945,91.6,72,1.5,83,2,9,523,Medium,0.92,"Cherry Tomato, Tomato, Capsicum"
Kandy,hill_country,Intermediate,Medium,Rooftop,Loamy,Maha,Herbs,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.624,211.3,62,1.1,85,2,10,251,Medium,1.01,"Chili, Aloe Vera, Mint"
Kilinochchi,northern,Beginner,Low,Backyard,Clay,Yala,Leafy_Greens,Yes,Chili,99.8,Turmeric,79,Eggplant,75.6,0.95,48.2,72,2,80,2,9,451,Medium,0.88,"Okra, Aloe Vera, Moringa"
Ratnapura,wet_zone,Beginner,Low,Rooftop,Red_Earth,Maha,Fruits,Yes,Mint,69.3,Chili,68,Aloe Vera,66.2,0.728,116.6,50,1.7,40,1,5,129,High,1.19,"Spinach, Capsicum, Curry Leaves"
Kurunegala,dry_zone,Beginner,Medium,Rooftop,Clay,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Curry Leaves,75.6,0.948,96.6,72,2,69,2,10,480,Medium,1.09,"Capsicum, Basil, Mint"
Kandy,hill_country,Beginner,High,Greenhouse,Loamy,Yala,Leafy_Greens,Yes,Bell Pepper,88.7,Cherry Tomato,84.4,Tomato,80.6,0.95,210.4,64,1.4,71,2,10,218,Medium,0.84,"Capsicum, Basil, Cucumber"
Kandy,hill_country,Intermediate,Low,Rooftop,Laterite,Maha,Vegetables,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.659,136.5,62,2.6,68,2,10,240,Medium,1.08,"Mint, Chili, Aloe Vera"
Galle,coastal,Intermediate,High,Small_Plot,Laterite,Yala,Herbs,Yes,Passion Fruit,100,Turmeric,86.9,Moringa,85.7,0.917,102,78,4.6,61,3,10,545,Medium,0.95,"Avocado, Lime, Lemon"
Monaragala,dry_zone,Beginner,Low,Rooftop,Red_Earth,Maha,Vegetables,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,183.1,70,1.7,104,1,10,274,Low,0.84,"Capsicum, Basil, Coriander"
Badulla,hill_country,Beginner,Low,Rooftop,Laterite,Yala,Vegetables,No,Curry Leaves,83.2,Aloe Vera,80,Capsicum,70.3,0.791,175.4,60,1.7,36,1,10,138,Low,0.81,"Chili, Basil, Coriander"
Kalutara,coastal,Advanced,Medium,Small_Plot,Sandy,Yala,Cash_Crops,Yes,Dragon Fruit,100,Saffron,100,Black Pepper,99.8,0.95,102.2,84,7.3,121,4,10,1070,Medium,1.09,"Passion Fruit, Cardamom, Moringa"
Kegalle,hill_country,Beginner,Low,Rooftop,Laterite,Yala,Herbs,Yes,Capsicum,78.1,Curry Leaves,75.6,Chili,74.8,0.859,182.9,62,2,62,2,6,207,Medium,0.95,"Aloe Vera, Basil, Mint"
Trincomalee,coastal,Beginner,Low,Container,Laterite,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.783,188.5,72,2.9,77,2,9,642,Medium,1.14,"Cherry Tomato, Tomato, Capsicum"
Negombo,coastal,Intermediate,Low,Backyard,Alluvial,Yala,Herbs,Yes,Chili,99.8,Passion Fruit,98.3,Aloe Vera,97,0.95,110.8,72,2.2,83,2,10,410,Medium,0.93,"Moringa, Lime, Lemon"
Polonnaruwa,dry_zone,Beginner,Medium,Rooftop,Clay,Maha,Vegetables,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,55,70,2,64,1,10,271,Low,0.88,"Capsicum, Basil, Coriander"
Bandarawela,hill_country,Advanced,High,Small_Plot,Laterite,Yala,Ayurvedic_Plants,Yes,Saffron,100,Black Pepper,100,Turmeric,100,0.95,60.3,95,1.2,174,5,10,86748,Medium,1.14,"Cardamom, Avocado, Dragon Fruit"
Horana,wet_zone,Intermediate,Medium,Container,Alluvial,Yala,Ayurvedic_Plants,No,Aloe Vera,80,Chili,67.4,Ginger,65.3,0.729,78.5,70,1.9,87,1,7,312,Low,1.08,"Green Beans, Curry Leaves, Okra"
Colombo,coastal,Advanced,Low,Backyard,Alluvial,Yala,Vegetables,Yes,Chili,99.8,Passion Fruit,98.3,Aloe Vera,97,0.895,67.2,72,3,85,2,10,270,Medium,1.14,"Moringa, Lime, Lemon"
Puttalam,dry_zone,Beginner,Low,Backyard,Clay,Yala,Herbs,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.95,77.3,70,2.5,98,1,10,588,Low,1.13,"Curry Leaves, Okra, Lemongrass"
Negombo,coastal,Intermediate,Medium,Small_Plot,Alluvial,Maha,Leafy_Greens,Yes,Passion Fruit,98.3,Moringa,85.7,Lime,83.2,0.95,151.6,78,6.1,84,3,10,667,Medium,1.12,"Lemon, Avocado, Mango"
Galle,coastal,Beginner,Medium,Backyard,Laterite,Yala,Cash_Crops,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.948,172.8,70,1.9,84,1,10,316,Low,0.9,"Curry Leaves, Okra, Lime"
Vavuniya,northern,Beginner,Medium,Small_Plot,Alluvial,Yala,Leafy_Greens,No,Turmeric,71.1,Moringa,70.7,Lime,56.1,0.687,45.2,76,2.7,297,2,6,447,Medium,1.19,"Lemon, Baby Corn, Onion"
Vavuniya,northern,Advanced,Low,Backyard,Clay,Maha,Herbs,No,Chili,81.6,Pomegranate,77.1,Eggplant,74.8,0.855,49.1,72,1.4,64,2,7,381,Medium,0.85,"Okra, Aloe Vera, Ashwagandha"
Polonnaruwa,dry_zone,Beginner,Medium,Container,Alluvial,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.95,211.6,72,1.7,87,2,8,377,Medium,0.95,"Curry Leaves, Okra, Ginger"
Kilinochchi,northern,Advanced,Low,Rooftop,Clay,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,72.8,Capsicum,58.6,0.95,48.7,72,1,60,2,10,220,Medium,0.96,"Curry Leaves, Basil, Mint"
Bandarawela,hill_country,Intermediate,Low,Container,Red_Earth,Maha,Fruits,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.95,109.9,74,2.7,238,2,8,229,High,0.82,"Brahmi, Bell Pepper, Capsicum"
Monaragala,dry_zone,Intermediate,Medium,Backyard,Clay,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Ashwagandha,88.2,0.819,118.7,72,1.9,61,2,8,213,Medium,0.95,"Pomegranate, Moringa, Turmeric"
Galle,coastal,Beginner,Medium,Container,Sandy,Maha,Ayurvedic_Plants,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.789,192.8,72,1.6,66,2,10,204,Medium,1.01,"Cherry Tomato, Eggplant, Bell Pepper"
Kegalle,hill_country,Beginner,Medium,Rooftop,Red_Earth,Yala,Cash_Crops,Yes,Capsicum,78.1,Curry Leaves,75.6,Chili,74.8,0.726,143.2,62,3,68,2,7,184,Medium,0.97,"Aloe Vera, Basil, Mint"
Puttalam,dry_zone,Intermediate,High,Small_Plot,Clay,Maha,Fruits,Yes,Ashwagandha,97,Pomegranate,85.7,Moringa,85.7,0.741,63.3,70,4,150,3,10,643,Low,0.99,"Avocado, Passion Fruit, Turmeric"
Anuradhapura,dry_zone,Beginner,Low,Container,Alluvial,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.95,100.1,72,3,89,2,10,273,Medium,0.94,"Curry Leaves, Okra, Bell Pepper"
Ampara,wet_zone,Intermediate,Low,Container,Alluvial,Maha,Fruits,Yes,Ginger,93.2,Tomato,88.7,Brahmi,81.9,0.95,75.2,74,3.1,196,2,10,239,High,0.8,"Cucumber, Green Beans, Mint"
Galle,coastal,Advanced,Medium,Backyard,Laterite,Maha,Vegetables,Yes,Black Pepper,99.8,Passion Fruit,98.3,Chili,90.7,0.895,99.3,88,5.3,320,4,10,1835,High,1.01,"Tomato, Aloe Vera, Moringa"
Badulla,hill_country,Advanced,Low,Rooftop,Red_Earth,Maha,Ayurvedic_Plants,Yes,Capsicum,78.1,Curry Leaves,75.6,Basil,69.3,0.727,50.7,62,2.8,81,2,9,173,Medium,0.82,"Mint, Chili, Aloe Vera"
Kilinochchi,northern,Intermediate,Medium,Backyard,Clay,Yala,Cash_Crops,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.834,98.9,72,1,62,2,9,645,Medium,1.14,"Pomegranate, Ashwagandha, Turmeric"
Monaragala,dry_zone,Advanced,Low,Rooftop,Clay,Maha,Cash_Crops,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.826,199.2,70,2.3,60,1,10,457,Low,0.96,"Capsicum, Basil, Coriander"
Mullaitivu,northern,Beginner,Low,Backyard,Clay,Maha,Leafy_Greens,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.913,128.1,72,1.4,79,2,10,294,Medium,0.95,"Tomato, Aloe Vera, Moringa"
Matara,coastal,Intermediate,Low,Container,Alluvial,Yala,Fruits,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.75,47.7,72,1.5,89,2,10,247,Medium,0.9,"Cherry Tomato, Tomato, Capsicum"
Puttalam,dry_zone,Beginner,Medium,Container,Clay,Yala,Herbs,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.848,85.7,72,1.3,70,2,8,525,Medium,1.09,"Curry Leaves, Okra, Ginger"
Kalmunai,wet_zone,Beginner,Low,Rooftop,Alluvial,Yala,Cash_Crops,Yes,Chili,74.8,Aloe Vera,72.8,Mint,69.3,0.604,125.3,72,2.3,72,2,6,434,Medium,1.15,"Capsicum, Spinach, Curry Leaves"
